epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
119,68.5824,0.60472,0.4114,0.50165,0.85426,0.99173,1,0.995,0.87473,0.99173,1,0.995,0.90241,0.52093,0.35471,0.52446,0.87457,0.00192212,0.00192212,0.00192212
120,69.1197,0.59532,0.46069,0.51358,0.86189,0.99195,1,0.995,0.87908,0.99195,1,0.995,0.92882,0.58214,0.35301,0.50889,0.86687,0.00192146,0.00192146,0.00192146
121,69.6694,0.6238,0.38907,0.50269,0.86302,0.99429,1,0.995,0.8586,0.99429,1,0.995,0.91623,0.56093,0.36797,0.51206,0.85137,0.0019208,0.0019208,0.0019208
122,70.3003,0.64276,0.61387,0.54461,0.90505,0.99493,1,0.995,0.86009,0.99493,1,0.995,0.8835,0.61002,0.49393,0.47037,0.87075,0.00192014,0.00192014,0.00192014
123,70.8483,0.66542,0.45079,0.54407,0.85492,0.98918,1,0.995,0.81979,0.98918,1,0.995,0.88342,0.70714,0.57954,0.47933,0.899,0.00191948,0.00191948,0.00191948
124,71.3908,0.63709,0.41781,0.50833,0.85727,0.98131,1,0.995,0.7914,0.98131,1,0.995,0.90101,0.68264,0.37968,0.54705,0.88775,0.00191882,0.00191882,0.00191882
125,71.9269,0.68244,0.37645,0.53124,0.87086,0.98711,1,0.995,0.83665,0.98711,1,0.995,0.88812,0.69893,0.41946,0.54558,0.89386,0.00191816,0.00191816,0.00191816
126,72.4676,0.64879,0.45619,0.53687,0.8713,0.98889,1,0.995,0.82527,0.98889,1,0.995,0.8861,0.71987,0.44539,0.46465,0.92234,0.0019175,0.0019175,0.0019175
127,73.0141,0.68897,0.4158,0.5183,0.87041,0.98849,1,0.995,0.85606,0.98849,1,0.995,0.88576,0.68874,0.43071,0.47924,0.93474,0.00191684,0.00191684,0.00191684
128,73.5509,0.66767,0.42341,0.53045,0.88293,0.98592,1,0.995,0.86843,0.98592,1,0.995,0.84918,0.67229,0.4547,0.45871,0.90687,0.00191618,0.00191618,0.00191618
129,74.0952,0.66391,0.44205,0.50095,0.86137,0.98271,1,0.995,0.84603,0.98271,1,0.995,0.918,0.63527,0.4895,0.4767,0.89983,0.00191552,0.00191552,0.00191552
130,74.6322,0.62801,0.49544,0.49639,0.86689,0.97892,1,0.995,0.88452,0.97892,1,0.995,0.90857,0.55917,0.3904,0.47371,0.88063,0.00191486,0.00191486,0.00191486
131,75.1749,0.60335,0.45367,0.48359,0.86687,0.97529,1,0.995,0.83819,0.97529,1,0.995,0.87832,0.61969,0.48144,0.48294,0.88332,0.0019142,0.0019142,0.0019142
132,75.8008,0.65724,0.45735,0.48946,0.83233,0.96286,1,0.995,0.89927,0.96286,1,0.995,0.88199,0.61007,0.44738,0.49957,0.8778,0.00191354,0.00191354,0.00191354
133,76.3384,0.6454,0.41165,0.47894,0.86995,0.95255,1,0.995,0.85605,0.95255,1,0.995,0.89385,0.67266,0.42919,0.50768,0.89465,0.00191288,0.00191288,0.00191288
134,76.8783,0.67541,0.41416,0.51279,0.88873,0.93443,1,0.995,0.83935,0.93443,1,0.995,0.85951,0.74749,0.53435,0.54928,0.90611,0.00191222,0.00191222,0.00191222
135,77.4371,0.70743,0.488,0.49646,0.86199,0.91578,1,0.995,0.85173,0.91578,1,0.995,0.90313,0.62953,0.45826,0.50587,0.87883,0.00191156,0.00191156,0.00191156
